activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037920032,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,1,1,1,1,2,2,2,455000,55.47,4,-0.22,2,5398.4,NA,2090,NA,,360,NA,NA,2,2,2,2,825000,1,1,3,5,1,NA,8,45,2,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,1,,,,,10,,,,3230,42.63,73100,218,781,871,14
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037920334,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,9,1,1,1,1,2,2,2,225000,70,5.75,1.914,2,11373,NA,6840,NA,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,5,45,2,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,6,,,,,10,,,,6263,36.79,73100,144,1435,1584,40
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037211120,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,1,1,1,1,2,2,2,235000,60,5.375,1.027,2,7833,NA,2875,NA,,360,NA,84,2,2,2,2,395000,1,1,3,5,1,NA,6,41,1,10,3,,,,,4,,,,,2,3,6,,,,,6,,,,,2,3,3,4,2,3,55-64,9999,No,NA,1,1,6,,,,,10,,,,5174,89.54,73100,64,166,62,33
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071010024,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,1,2,2,2,32,1,2,2,2,305000,79.73,4.625,0.636,2,9375.4,NA,2812.5,NA,,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,7,42,3,3,1,14,,,,1,14,,,,3,3,6,,,,,6,,,,,3,3,1,2,3,3,35-44,35-44,No,No,1,1,3,,,,,10,,,,5459,40.21,69700,108,1409,1751,29
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037543304,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Joint,1,2,1,2,1,1,2,2,2,605000,95,4,0.207,2,17581.96,NA,2290,NA,,360,NA,NA,2,2,2,2,645000,1,1,3,5,1,NA,15,50%-60%,2,2,3,,,,,3,,,,,3,3,3,,,,,3,,,,,3,3,1,2,3,3,25-34,25-34,No,No,1,1,3,,,,,10,,,,6197,97.26,73100,153,1819,2025,50
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071000117,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,1,1,1,1,1,2,2,2,265000,67.25,4.25,0.149,2,7978.25,NA,4760,NA,,360,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,6,45,3,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,6884,67.13,69700,180,1933,2197,23
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037503703,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,31,1,2,2,2,325000,37.57,4.375,0.353,2,4612,NA,2190,NA,,360,NA,NA,2,2,2,2,865000,1,1,3,5,1,NA,8,49,3,3,2,,,,,2,,,,,2,3,2,25,,,,2,25,,,,2,3,1,2,1,3,45-54,45-54,No,No,1,1,1,,,,,10,,,,7841,72.72,73100,147,2134,2327,24
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065042729,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,1,2,1,31,1,2,2,2,215000,57.32,3.875,-0.311,2,2864,NA,1720,NA,,360,NA,NA,2,2,2,2,385000,1,2,3,5,1,NA,15,30%-<36%,3,3,2,,,,,2,,,,,2,3,5,,,,,2,27,,,,2,3,1,2,2,3,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,10504,41.77,69700,97,2687,4016,15
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065042731,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,2,1,2,1,1,2,2,2,405000,96.5,5.25,1.165,2,12454.65,NA,2315,NA,,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,7,48,2,10,3,,,,,4,,,,,3,3,6,,,,,6,,,,,3,3,2,4,3,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,6401,67.01,69700,113,1500,1883,12
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037702600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,9,1,1,1,1,2,2,2,725000,62.34,5.375,0.889,2,13573,NA,7840,NA,,360,NA,84,2,2,2,2,1205000,1,1,3,5,1,NA,12,46,3,3,2,,,,,2,,,,,3,3,2,27,,,,2,27,,,,3,3,1,2,3,3,35-44,35-44,No,No,1,1,6,,,,,10,,,,5979,53.34,73100,177,1689,2041,58
